"iid","sv","sd","vtyp","sno","sna","sip","tot","sbi","bemp","sna_sbi_bemp","sarea","mday_num","mday_time","lat","lng","ar","sareaen","snaen","aren","nbcnt","act"
"361","1","20120725000000","1","23","東新國小","","32","0","28","東新國小
有車0
有空位28","南港區","20150720182526","42205.452777778","25.055074","121.602798","東新國小側門(東明街62號前)","Nangang Dist.","Dongxin Elementary School","A side entrance of Dongxin Elementery School(front of No. 62, Dongxin St.)","0","1"
"367","1","20120725000000","1","29","金山愛國路口","","54","16","38","金山愛國路口
有車16
有空位38","大安區","20150720182526","42205.452777778","25.03164","121.52655","愛國東路/金山南路(西南側)","Daan Dist.","Jinshan & Aiguo Intersection","The S.W side of Aiguo St. & Jinshan Rd.","0","1"
"566","1","20140703135727","1","164","捷運奇岩站","","56","25","31","捷運奇岩站
有車25
有空位31","北投區","20150720182526","42205.452777778","25.126286","121.500801","北投路一段/三合街二段(東北側)","Beitou Dist.","MRT Qiyan Sta.","Sec. 1, Beitou Rd./Sec. 2, Sanhe St.","0","1"
"536","1","20140429102910","1","1002","汐止火車站","","56","16","39","汐止火車站
有車16
有空位39","汐止區","20150720182526","42205.452777778","25.068914","121.662748","南昌街/新昌路口(西側廣場)","Xizhi Dist.","Xizhi Railway Station","Nanchang St./Xinchang Rd.","0","1"
"537","1","20140429103119","1","1003","汐止區公所","","46","5","41","汐止區公所
有車5
有空位41","汐止區","20150720182526","42205.452777778","25.064162","121.658301","新台五路一段/仁愛路口(新台五路側汐止地政事務所前機車停車場)","Xizhi Dist.","Xizhi Dist. Office","Sec. 1, Xintai 5th Rd./Ren’ai Rd.","0","1"
"538","1","20140429103340","1","1004","國泰綜合醫院","","40","29","11","國泰綜合醫院
有車29
有空位11","汐止區","20150720182526","42205.452777778","25.07315","121.662555","建成路78號對面停車場","Xizhi Dist.","Cathay General Hospital","No78, Jiancheng Rd","0","1"
"769","1","20150525173725","1","1138","捷運新埔站(4號出口)","","50","14","34","捷運新埔站(4號出口)
有車14
有空位34","板橋區","20150720182526","42205.452777778","25.023491","121.468559","民生路二段250號前人行道","Banqiao Dist.","MRT Xinpu Sta.(Exit.4)","No.250, Sec. 2, Minsheng Rd.","0","1"
"773","1","20150525175142","1","1142","光華東帝士","","40","9","31","光華東帝士
有車9
有空位31","新莊區","20150720182526","42205.452777778","25.010795","121.427836","民安西路370號至376號前","Xinzhuang Dist.","Guanghua dongdishi","No.376 to No.376, Min’an W. Rd.","0","1"
"774","1","20150527091751","1","1143","廣福公園","","38","6","32","廣福公園
有車6
有空位32","板橋區","20150720182526","42205.452777778","24.991643","121.462872","廣權路/廣和街","Banqiao Dist.","Guangfu Park","Guangquan Rd./Guanghe St.","0","1"
"775","1","20150527091901","1","1144","板橋四維公園","","54","9","42","板橋四維公園
有車9
有空位42","板橋區","20150720182526","42205.452777778","25.025464","121.462633","陽明街251號至259號對面人行道","Banqiao Dist.","Banqiao Siwei Park","No.251 to No.259, Yangming St. (opposite)","0","1"
"776","1","20150528170729","1","1145","捷運頂埔站(2號出口)","","60","12","48","捷運頂埔站(2號出口)
有車12
有空位48","土城區","20150720182526","42205.452777778","24.959276","121.419008","中央路四段74號至76號對面人行道","Tucheng Dist.","MRT Dingpu Sta.(Exit.2)","No.74 to No.76, Sec. 4, Zhongyang Rd. (opposite)","0","1"
"778","1","20150528170930","1","1147","青潭國小","","40","17","21","青潭國小
有車17
有空位21","新店區","20150720182526","42205.452777778","24.953101","121.551813","北宜路2段149號對面","Xindian Dist.","Qing-Tan Elementary School","No.149, Sec. 2, Beiyi Rd. (opposite)","2","1"
"779","1","20150528171026","1","1148","金城忠義路口","","34","21","13","金城忠義路口
有車21
有空位13","土城區","20150720182526","42205.452777778","24.969399","121.440808","金城路一段/忠義路","Tucheng Dist.","Jincheng Zhongyi Intersection","Sec. 1, Jincheng Rd./Zhongyi Rd.","0","1"
"782","1","20150528171614","1","1151","中山國中","","38","10","26","中山國中
有車10
有空位26","板橋區","20150720182526","42205.452777778","25.018559","121.467509","文化路一段188巷56號","Banqiao Dist.","Zhong Shan Junior High School","No.56, Ln. 188, Sec. 1, Wenhua Rd.","0","1"
"783","1","20150604103057","1","1152","捷運土城站(2號出口)","","52","11","41","捷運土城站(2號出口)
有車11
有空位41","土城區","20150720182526","42205.452777778","24.972631","121.443563","金城路1段/和平路","Tucheng Dist.","MRT Tucheng Sta.(Exit 2)","Sec. 1, Jincheng Rd./Heping Rd.","0","1"
"784","1","20150604103209","1","1153","四川遠東路口","","48","9","39","四川遠東路口
有車9
有空位39","板橋區","20150720182526","42205.452777778","24.998003","121.457355","遠東路5號前人行道(四川路側)","Banqiao Dist.","Sichuan & Yuandong Intersection","No.5, Yuandong Rd.","0","1"
"786","1","20150604141416","1","1155","中正橋","","30","0","29","中正橋
有車0
有空位29","永和區","20150720182526","42205.452777778","25.017757","121.516809","環河東路一段/光復街","Yonghe Dist.","Zhongzheng Bridge","Sec. 1, Huanhe E. Rd./Guangfu St.","0","1"
"787","1","20150605164412","1","1156","北港國小","","44","20","24","北港國小
有車20
有空位24","汐止區","20150720182526","42205.452777778","25.089027","121.645946","汐萬路二段279號","Xizhi Dist.","Beigang Elementary School","No.279, Sec. 2, Xiwan Rd.","0","1"
"790","1","20150611182248","1","1159","新樹公園","","32","8","24","新樹公園
有車8
有空位24","新莊區","20150720182526","42205.452777778","25.003383","121.433154","新樹路627號對面","Xinzhuang Dist.","Xinshu Park","No.627, Xinshu Rd. (opposite)","0","1"
"791","1","20150611182346","1","1160","中和環球購物中心","","40","11","28","中和環球購物中心
有車11
有空位28","中和區","20150720182526","42205.452777778","25.006367","121.474223","中山路三段130號","Zhonghe Dist.","Zhonghe Global Mall","No.130, Sec. 3, Zhongshan Rd.","0","1"
"795","1","20150615161546","1","1164","國光里(國光路)","","34","21","13","國光里(國光路)
有車21
有空位13","板橋區","20150720182526","42205.452777778","25.017755","121.458308","國光路76號旁","Banqiao Dist.","Guoguang Village (Guoguang Rd.)","No.76, Guoguang Rd.","0","1"
